"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R215,R62,R48,R75,R201,R173,R177,R222,R214,R147,R10,R212,R203,R168,R139,R91,R86,R135,R189,R234,R181,R141,R151,R9,R226,R74,R68,R44,R206,R163,R231,R8,R82,R194,R124,R70,R233,R42,R152,R184,R50,R133,R171,R107,R216,R127,R161,R136,R80,R193,R179,R43,R144,R160,R230,R191,R211,R90,R143,R92,R36,R200,R56,R123,R29,R197,R140,R110,R132,R49,R77,R145,R155,R217,R210,R223,R40,R32,R69,R15,R23,R187,R4,R100,R228,R108,R95,R122,R138,R84,R6,R182,R111,R53,R169,R166,R63,R224,R103,R118,R60,R128,R72,R22,R97,R89,R116,R115,R38,R18,R88,R12,R25,R196,R73,R58,R87,R126,R146,R209,R71,R104,R3,R45,R158,R188,R21,R174,R199,R195,R28,R51,R175,R205,R64,R79,R47,R221,R167,R130,R13,R232,R57,R106,R66,R26,R198,R7,R186,R27,R14,R59,R129,R61,R37,R93,R78,R101,R165,R213,R190,R172,R76,R33,R96,R114,R83,R98,R99,R67,R119,R30,R16,R229,R202,R41,R149,R19,R35,R121,R109,R227,R156,R102,R34,R17,R20,R11,R170,R192,R120,R65,R125,R113,R5,R24,R81,R112,R142,R94,R204,R225,R154,R176,R134,R178,R218,R185,R164,R54,R46,R117,R159,R162,R208,R219,R183,R180,R137,R148,R85,R52,R207,R105,R131,R153,R39,R220,R157,R31,R55,R150";"R_0402_1005Metric";232;"33";;;
2;"C30,C67,C69,C48,C91,C5,C61,C26,C19,C39,C40,C76,C73,C2,C93,C60,C50,C25,C15,C46,C57,C84,C54,C64,C94,C47,C34,C11,C18,C89,C72,C88,C20,C29,C24,C82,C21,C41,C66,C63,C55,C37,C70,C83,C86,C1,C36,C13,C49,C28,C16,C51,C22,C90,C75,C53,C45,C85,C4,C14,C62,C32,C17,C92,C42,C35,C6,C80,C78,C58,C81,C43,C27,C23,C3,C9,C59,C71,C68,C10,C77,C87,C8,C38,C33,C12,C44,C74,C65,C56,C52,C7,C79,C31";"C_0402_1005Metric";94;"0.1uF";;;
3;"U36,U60,U33,U45,U20,U28,U2,U48,U38,U79,U62,U37,U63,U49,U26,U70,U76,U56,U53,U69,U29,U80,U30,U31,U25,U77,U41,U32,U46,U58,U35,U61,U65,U74,U27,U24,U81,U57,U39,U75,U44,U59,U47,U83,U68,U78,U23,U50,U19,U73,U72,U64,U42,U43,U66,U55,U71,U51,U67,U22,U40,U21,U52,U54,U34,U82";"SOT-23-6";66;"74LVC2G17";;;
4;"Q1";"SOT-23-3";1;"MOSFET_NCHAN";;;
5;"C97,C98,C106,C102,C99,C105,C95,C96,C100,C104,C103,C101";"C_1210_3225Metric";12;"100uF";;;
6;"H1,H3,H4,H2";"MountingHole_4.5mm_Pad";4;"MountingHole_Pad";;;
7;"J4,J1";"DCJACK_2PIN_HIGHCURRENT";2;"Barrel_Jack";;;
8;"P10,P12,P7,P9,P11,P5,P4,P1,P6,P8,P2,P3";"HEADER_TOP";12;"CONN15";;;
9;"U13,U6,U10,U3,U14,U4,U7,U12,U8,U9,U11,U5";"TSSOP-20_4.4x6.5mm_P0.65mm";12;"TXB0108PW";;;
10;"SW1";"slide_switch";1;"SW_SPDT";;;
11;"J3,J2";"JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal";2;"Conn_01x04";;;
12;"U17,U16,U15,U18";"SOT-23-5";4;"74LVC1G17";;;
13;"R1";"R_0402_1005Metric";1;"200";;;
14;"U1";"Teensy41_outer_only";1;"Teensy4.1";;;
15;"R2";"R_0402_1005Metric";1;"20k";;;
