Ref,Val,Package,PosX,PosY,Rot,Side
"P1","CONN15","HEADER_TOP",266.474028,-177.800000,90.000000,bottom
"P2","CONN15","HEADER_TOP",254.593961,-133.462985,120.000000,bottom
"P3","CONN15","HEADER_TOP",222.137014,-101.006038,150.000000,bottom
"P4","CONN15","HEADER_TOP",177.800000,-89.125971,180.000000,bottom
"P5","CONN15","HEADER_TOP",133.462985,-101.006038,-150.000000,bottom
"P6","CONN15","HEADER_TOP",101.006038,-133.462985,-120.000000,bottom
"P7","CONN15","HEADER_TOP",89.125971,-177.800000,-90.000000,bottom
"P8","CONN15","HEADER_TOP",101.006038,-222.137014,-60.000000,bottom
"P9","CONN15","HEADER_TOP",133.462985,-254.593961,-30.000000,bottom
"P10","CONN15","HEADER_TOP",177.799999,-266.474028,0.000000,bottom
"P11","CONN15","HEADER_TOP",222.137014,-254.593961,30.000000,bottom
"P12","CONN15","HEADER_TOP",254.593961,-222.137014,60.000000,bottom
"C1","100uF","C_1210_3225Metric",270.078200,-161.262800,-90.000000,top
"C2","100uF","C_1210_3225Metric",249.446666,-117.339264,-60.000000,top
"C3","100uF","C_1210_3225Metric",209.617465,-89.616133,-30.000000,top
"C4","100uF","C_1210_3225Metric",161.262800,-85.521799,0.000000,top
"C5","100uF","C_1210_3225Metric",117.339264,-106.153333,30.000000,top
"C6","100uF","C_1210_3225Metric",89.616133,-145.982534,60.000000,top
"C7","100uF","C_1210_3225Metric",85.521799,-194.337200,90.000000,top
"C8","100uF","C_1210_3225Metric",106.153333,-238.260735,120.000000,top
"C9","100uF","C_1210_3225Metric",145.982534,-265.983866,150.000000,top
"C10","100uF","C_1210_3225Metric",194.337200,-270.078200,180.000000,top
"C11","100uF","C_1210_3225Metric",238.260735,-249.446666,-150.000000,top
"C12","100uF","C_1210_3225Metric",265.983866,-209.617465,-120.000000,top
"C13","C_Polarized","CP_Radial_D8.0mm_P2.50mm",276.529800,-160.020000,-90.000000,top
"C14","C_Polarized","CP_Radial_D8.0mm_P2.50mm",254.412515,-113.037167,-60.000000,top
"C15","C_Polarized","CP_Radial_D8.0mm_P2.50mm",211.766968,-83.407484,-30.000000,top
"C16","C_Polarized","CP_Radial_D8.0mm_P2.50mm",160.020000,-79.070199,0.000000,top
"C17","C_Polarized","CP_Radial_D8.0mm_P2.50mm",113.037167,-101.187484,30.000000,top
"C18","C_Polarized","CP_Radial_D8.0mm_P2.50mm",83.407484,-143.833031,60.000000,top
"C19","C_Polarized","CP_Radial_D8.0mm_P2.50mm",79.070199,-195.580000,90.000000,top
"C20","C_Polarized","CP_Radial_D8.0mm_P2.50mm",101.187484,-242.562832,120.000000,top
"C21","C_Polarized","CP_Radial_D8.0mm_P2.50mm",143.833031,-272.192515,150.000000,top
"C22","C_Polarized","CP_Radial_D8.0mm_P2.50mm",195.579999,-276.529800,180.000000,top
"C23","C_Polarized","CP_Radial_D8.0mm_P2.50mm",242.562832,-254.412515,-150.000000,top
"C24","C_Polarized","CP_Radial_D8.0mm_P2.50mm",272.192515,-211.766968,-120.000000,top
"J4","Barrel_Jack","DCJACK_2PIN_HIGHCURRENT",95.000000,-63.502800,0.000000,top
